PX1,PY1,PX2,PY2,PX3,PY3,PX4,PY4
-11.200999999999999,165.821,-3.9960000000000004,180.467,4.075,180.52599999999998,9.213,165.90900000000005
-11.083,165.88,-4.154,180.23,4.232,179.817,9.075,166.08700000000005
-11.22,165.88,-3.9960000000000004,180.49599999999998,4.35,178.96099999999996,9.213,165.90900000000005
-11.083,165.88,-4.154,180.34799999999998,4.232,179.817,9.075,166.146
-11.22,165.88,-3.9960000000000004,180.467,4.35,179.49200000000005,9.213,165.90900000000005
-11.083,165.88,-4.154,180.34799999999998,4.232,180.407,9.075,166.146
-11.22,165.88,-3.9960000000000004,180.49599999999998,4.37,179.72799999999995,9.213,165.791
-11.083,165.93900000000005,-4.154,180.28900000000002,4.232,180.467,9.075,166.146
-11.22,165.88,-3.9960000000000004,180.49599999999998,4.37,180.201,9.213,165.90900000000005
-11.083,165.93900000000005,-4.154,180.34799999999998,4.232,180.407,9.075,166.146
-11.22,165.93900000000005,-3.9960000000000004,180.49599999999998,4.37,180.201,9.213,165.90900000000005
-11.083,165.93900000000005,-4.154,180.28900000000002,4.232,180.467,9.075,166.146
-11.22,165.93900000000005,-3.9960000000000004,180.49599999999998,4.37,180.26,9.213,165.93900000000005
-11.083,165.93900000000005,-4.154,180.23,4.232,180.52599999999998,9.075,166.146
-11.200999999999999,165.821,-3.9960000000000004,180.467,4.37,180.28900000000002,9.213,165.85
-11.083,165.93900000000005,-4.154,180.23,4.232,179.935,9.075,166.146
-11.22,165.93900000000005,-3.9960000000000004,180.467,4.37,179.75799999999995,9.213,165.791
-11.083,165.93900000000005,-4.154,180.23,4.232,179.87599999999995,9.075,166.146
-11.22,165.93900000000005,-3.9960000000000004,180.467,4.37,179.817,9.213,165.93900000000005
-11.083,165.93900000000005,-4.154,180.23,4.232,180.024,9.075,166.205
-11.22,165.88,-3.9960000000000004,180.49599999999998,4.331,177.69099999999997,9.213,165.998
-11.083,165.88,-4.154,180.171,4.232,179.965,9.075,166.234
-11.22,165.88,-3.9960000000000004,180.49599999999998,4.37,179.72799999999995,9.213,166.028
-11.083,165.88,-4.154,180.23,4.232,179.965,9.075,166.146
-11.22,165.93900000000005,-3.9960000000000004,180.49599999999998,4.37,179.72799999999995,9.213,165.90900000000005
-11.083,165.88,-4.154,180.34799999999998,4.232,180.614,9.075,166.146
-11.22,165.88,-3.9960000000000004,180.49599999999998,4.37,179.87599999999995,9.213,165.998
-11.083,165.88,-4.154,180.28900000000002,4.232,180.024,9.075,166.146
-11.22,165.93900000000005,-3.9960000000000004,180.467,4.37,179.75799999999995,9.213,165.998
-11.083,165.998,-4.154,180.23,4.232,179.965,9.075,166.146
-10.945,166.08700000000005,-3.9960000000000004,180.467,4.37,179.72799999999995,9.213,166.028
-11.083,166.08700000000005,-4.154,180.171,4.232,179.965,9.075,166.205
-11.22,165.93900000000005,-4.291,179.935,4.37,179.75799999999995,8.957,166.44099999999997
-11.083,165.93900000000005,-4.154,180.171,4.232,180.083,9.075,166.234
-11.22,165.88,-4.291,179.935,4.37,180.34799999999998,8.957,166.44099999999997
-11.083,166.028,-4.154,180.23,4.232,180.673,9.075,166.205
-11.22,165.998,-3.9960000000000004,180.467,4.37,180.407,8.957,166.44099999999997
-11.083,166.08700000000005,-4.154,180.23,4.232,180.614,9.075,166.205
-11.22,165.998,-3.9960000000000004,180.467,4.37,180.34799999999998,8.957,166.44099999999997
-11.083,166.028,-4.154,180.34799999999998,4.232,180.732,9.075,166.205
-11.22,165.998,-4.291,179.965,4.37,180.34799999999998,8.957,166.44099999999997
-11.083,165.998,-4.154,180.34799999999998,4.232,180.614,9.075,166.205
-11.22,166.08700000000005,-4.291,180.024,4.37,179.817,8.957,166.44099999999997
-11.083,166.028,-4.154,180.28900000000002,4.232,180.142,9.075,166.234
-11.22,165.998,-4.291,180.024,4.37,179.935,9.213,166.028
-11.083,165.998,-4.154,180.34799999999998,4.232,180.142,9.075,166.234
-11.22,165.998,-3.9960000000000004,180.467,4.37,180.407,8.957,166.41099999999997
-11.083,166.028,-4.154,180.34799999999998,4.232,180.614,9.075,166.205
-11.22,166.08700000000005,-3.9960000000000004,180.49599999999998,4.37,180.34799999999998,8.957,166.44099999999997
-11.083,165.998,-4.154,180.34799999999998,4.232,180.142,9.075,166.205
-11.22,165.998,-3.9960000000000004,180.467,4.37,180.34799999999998,8.957,166.44099999999997
-11.083,166.028,-4.154,180.34799999999998,4.232,180.142,9.094,166.293
-11.22,165.998,-3.9960000000000004,180.467,4.37,179.87599999999995,8.957,166.44099999999997
-11.083,166.028,-4.154,180.34799999999998,4.232,179.935,9.075,166.234
-11.22,165.998,-4.291,180.083,4.37,179.75799999999995,9.213,166.028
-11.083,166.028,-4.154,180.34799999999998,4.232,180.083,9.075,166.234
