P1,P2,P3,P4
-10.097999999999999,-4.291,4.37,9.783
-9.961,-4.154,4.232,9.921
-10.097999999999999,-4.291,4.37,10.059
-9.961,-4.154,4.232,9.921
-10.097999999999999,-4.291,4.37,9.488
-9.961,-4.154,4.232,9.626
-10.097999999999999,-4.291,4.37,10.059
-9.961,-4.154,4.232,9.626
-10.097999999999999,-4.291,4.37,9.783
-9.961,-4.154,4.232,9.626
-10.097999999999999,-4.291,4.37,9.488
-9.961,-4.154,4.232,9.626
-10.097999999999999,-3.9960000000000004,4.37,9.488
-9.961,-4.154,4.232,9.626
-10.097999999999999,-3.9960000000000004,4.37,9.488
-9.961,-4.154,4.232,9.626
-10.097999999999999,-4.291,4.37,9.488
-9.961,-4.154,4.232,9.35
-10.097999999999999,-4.291,4.37,9.488
-9.961,-4.154,4.232,9.35
-10.097999999999999,-4.291,4.37,9.488
-9.961,-4.154,4.232,9.35
-10.097999999999999,-4.291,4.37,9.488
-9.961,-4.154,4.232,9.35
-10.097999999999999,-3.9960000000000004,4.37,9.488
-9.961,-4.154,4.232,9.626
-10.097999999999999,-3.9960000000000004,4.37,9.488
-9.961,-4.154,4.232,9.626
-10.097999999999999,-3.9960000000000004,4.37,9.488
-9.961,-4.154,4.232,9.626
-10.097999999999999,-4.291,4.37,9.488
-9.961,-4.154,4.232,9.626
-10.097999999999999,-3.9960000000000004,4.37,9.488
-9.961,-4.154,4.232,9.626
-10.097999999999999,-3.9960000000000004,4.37,9.488
-9.961,-4.154,4.232,9.626
-9.823,-3.9960000000000004,4.37,9.488
-9.961,-4.154,4.232,9.626
-10.097999999999999,-3.9960000000000004,4.37,9.783
-9.961,-4.154,4.232,9.921
-10.097999999999999,-3.9960000000000004,4.37,9.783
-9.961,-4.154,4.232,9.626
-10.097999999999999,-3.9960000000000004,4.37,9.488
-9.961,-4.154,4.232,9.626
-10.097999999999999,-3.9960000000000004,4.37,9.488
-9.961,-4.154,4.232,9.35
-9.823,-3.9960000000000004,4.37,9.488
-9.961,-4.154,4.232,9.626
-10.097999999999999,-3.9960000000000004,4.37,9.488
-9.961,-4.154,4.232,9.921
-9.823,-3.9960000000000004,4.37,9.783
-9.961,-4.154,4.232,9.921
-9.823,-3.9960000000000004,4.37,9.783
-9.961,-4.154,4.232,9.626
-9.823,-3.9960000000000004,4.37,9.488
-10.236,-3.858,4.508,9.921
-9.823,-3.9960000000000004,4.37,9.783
-9.961,-4.154,4.508,9.35
-9.823,-3.9960000000000004,4.37,9.488
-9.961,-4.154,4.508,9.35
-9.823,-3.9960000000000004,4.37,9.488
-9.685,-3.858,4.508,9.626
-9.823,-3.9960000000000004,4.37,9.783
-9.685,-4.1339999999999995,4.508,9.626
-9.823,-3.9960000000000004,4.37,9.783
-9.961,-4.154,4.508,9.921
-9.823,-3.9960000000000004,4.37,9.783
-9.961,-4.154,4.508,9.626
-9.823,-3.9960000000000004,4.37,9.488
-9.961,-4.154,4.508,9.921
-9.823,-3.9960000000000004,4.37,10.059
-10.236,-4.154,4.508,9.626
-9.823,-3.9960000000000004,4.37,9.783
-9.961,-3.858,4.508,9.921
-9.823,-3.9960000000000004,4.37,10.059
-9.961,-3.858,4.508,9.626
-9.823,-3.9960000000000004,4.37,9.488
-9.961,-3.858,4.508,10.197000000000001
-9.823,-3.9960000000000004,4.37,10.059
-9.685,-3.858,4.508,9.626
-9.823,-3.9960000000000004,4.37,9.783
-9.685,-3.858,4.508,9.921
-9.823,-3.9960000000000004,4.37,9.783
-9.961,-3.858,4.508,10.197000000000001
-9.823,-3.9960000000000004,4.37,9.488
-9.685,-3.858,4.508,9.921
-9.823,-3.9960000000000004,4.37,10.059
-9.685,-3.858,4.508,10.197000000000001
-9.823,-3.9960000000000004,4.37,10.059
-9.685,-3.858,4.508,10.197000000000001
-9.823,-3.9960000000000004,4.37,9.488
-9.685,-3.858,4.508,10.197000000000001
-9.823,-3.9960000000000004,4.37,9.488
-9.685,-3.858,4.508,9.626
-9.823,-3.9960000000000004,4.37,9.488
-9.685,-3.858,4.508,9.626
-9.823,-3.9960000000000004,4.37,10.335
-9.685,-3.858,4.508,9.626
-9.547,-3.9960000000000004,4.37,9.488
-9.685,-3.858,4.508,9.921
-9.547,-3.9960000000000004,4.665,9.783
-9.685,-3.858,4.508,9.626
-9.547,-3.9960000000000004,4.665,10.335
-9.685,-3.858,4.508,9.921
-9.547,-3.9960000000000004,4.665,9.783
-9.685,-3.858,4.508,9.626
-9.547,-3.9960000000000004,4.665,10.059
-9.685,-3.858,4.508,9.626
-9.823,-3.9960000000000004,4.37,9.783
-9.685,-3.858,4.508,9.626
-9.823,-3.9960000000000004,4.37,9.783
-9.685,-3.858,4.508,9.626
-9.823,-3.9960000000000004,4.665,9.783
-9.685,-3.858,4.508,9.626
-9.547,-3.72,4.37,10.059
-9.685,-3.858,4.508,11.319
-9.547,-3.9960000000000004,4.37,10.059
-9.685,-3.858,4.508,10.472000000000001
-9.547,-3.9960000000000004,4.37,10.059
-9.685,-3.858,4.508,10.197000000000001
-9.547,-3.9960000000000004,4.665,10.059
-9.685,-4.1339999999999995,4.508,9.921
-9.547,-3.9960000000000004,4.37,9.783
-9.685,-4.1339999999999995,4.508,9.921
-9.547,-3.9960000000000004,4.665,10.059
-9.685,-3.858,4.508,9.921
-9.547,-3.9960000000000004,4.665,9.783
-9.685,-3.858,4.508,9.921
-9.823,-3.9960000000000004,4.665,10.335
-9.685,-3.858,4.508,10.472000000000001
-9.823,-3.9960000000000004,4.665,10.61
-9.685,-4.1339999999999995,4.508,10.472000000000001
-9.823,-3.9960000000000004,4.37,10.61
-9.685,-3.858,4.508,9.35
-9.823,-3.9960000000000004,4.37,9.488
-9.685,-3.858,4.508,9.35
-9.823,-3.9960000000000004,4.665,10.059
-9.685,-3.858,4.508,9.35
-9.823,-3.9960000000000004,4.665,9.488
-9.685,-3.858,4.508,9.35
-9.823,-3.9960000000000004,4.665,9.488
-9.685,-3.858,4.508,9.35
-9.823,-3.9960000000000004,4.665,9.488
-9.685,-3.858,4.508,9.626
-9.823,-3.9960000000000004,4.665,9.488
-9.685,-4.154,4.508,9.35
-9.823,-3.9960000000000004,4.665,9.488
-9.685,-3.858,4.508,9.626
-9.823,-3.9960000000000004,4.665,9.488
-9.685,-4.1339999999999995,4.508,9.35
-9.823,-3.9960000000000004,4.665,9.488
-9.685,-3.858,4.508,9.626
-9.823,-3.9960000000000004,4.665,9.488
-9.961,-3.858,4.508,9.35
-9.823,-3.9960000000000004,4.665,9.488
-9.685,-3.858,4.508,9.35
-9.823,-3.9960000000000004,4.665,9.488
-9.685,-3.858,4.508,9.626
-9.823,-3.9960000000000004,4.665,9.488
-9.685,-3.858,4.508,9.626
-9.823,-3.9960000000000004,4.665,9.488
-9.685,-3.858,4.508,9.626
-9.823,-3.9960000000000004,4.37,9.488
-9.685,-3.858,4.508,9.626
-9.823,-3.9960000000000004,4.37,9.488
-9.685,-3.858,4.508,9.626
-9.823,-3.9960000000000004,4.665,9.488
-9.685,-3.858,4.508,9.626
-9.823,-3.9960000000000004,4.665,9.488
-9.685,-3.858,4.508,9.626
-9.823,-3.9960000000000004,4.665,9.488
-9.685,-3.858,4.508,9.626
-9.823,-3.9960000000000004,4.665,9.488
